Ticker,Optimal Weights (%)
AAPL,0.0
ABNB,0.0
ADBE,2.5291710828439477e-13
ADI,2.8723824085141206e-13
ADP,0.0
ADSK,0.0
AEP,0.0
AMAT,0.0
AMD,9.601427000387387e-13
AMGN,0.0
AMZN,4.751852549264266e-13
ANSS,3.108952748384397e-13
ASML,2.3324735228170373e-13
AVGO,0.0
AZN,0.0
BIIB,2.0545907407347132e-13
BKNG,0.0
BKR,0.0
CCEP,2.0248758504762706e-13
CDNS,0.0
CDW,0.0
CHTR,0.0
CMCSA,1.0650496331054111e-13
COST,6.874238229703803
CPRT,0.0
CRWD,0.0
CSCO,1.8425615476870113e-14
CSGP,5.869984980040556e-14
CSX,3.763185350586227e-14
CTAS,0.0
CTSH,0.0
DASH,3.1810799528020845e-13
DDOG,5.504525940242705e-13
DLTR,3.765281844665671e-14
DXCM,5.644139937366603e-14
EA,0.0
EXC,0.0
FANG,13.715721013162192
FAST,0.0
FTNT,1.5819570356539034e-13
GILD,0.0
GOOG,2.7294860414524443e-14
GOOGL,0.0
HON,0.0
IDXX,0.0
ILMN,3.71882067822867e-14
INTC,1.0784258620961159e-13
INTU,1.1031877877186818e-13
ISRG,7.312925590454957e-14
KDP,7.900908506919241e-16
KHC,0.0
KLAC,4.332092529555261e-14
LIN,0.0
LRCX,6.875828503938383e-14
LULU,0.0
MAR,0.0
MCHP,0.0
MDB,0.0
MDLZ,1.352989784084631e-14
MELI,0.0
META,0.0
MNST,0.0
MRNA,0.0
MRVL,1.416008345082149e-13
MSFT,0.0
MU,0.0
NFLX,0.0
NVDA,13.809070646218228
NXPI,1.3975671319236726e-13
ODFL,3.2368857012704625e-15
ON,0.0
ORLY,35.91060465967043
PANW,0.0
PAYX,5.72282824652998e-14
PCAR,10.662652865697222
PDD,0.0
PEP,0.0
PYPL,0.0
QCOM,0.0
REGN,12.061999773114412
ROP,0.0
ROST,1.8275976029929995e-13
SBUX,2.0134059015582405e-13
SIRI,0.0
SNPS,0.0
TEAM,1.3973435962531404e-13
TMUS,0.0
TSLA,2.3974400109213254e-13
TTD,6.888064262030292e-14
TTWO,0.0
TXN,5.6350135577330285e-14
VRSK,0.0
VRTX,6.965712812433429
WBA,0.0
WBD,0.0
WDAY,0.0
XEL,0.0
ZS,1.9759277496444866e-13
