Ticker,Weights
AAPL,0.0805
ABNB,0.0045
ADBE,0.0156
ADI,0.0076
ADP,0.0072
ADSK,0.0034
AEP,0.0034
AMAT,0.0128
AMD,0.0183
AMGN,0.0121
AMZN,0.0531
ANSS,0.002
ASML,0.0058
AVGO,0.0473
AZN,0.0032
BIIB,0.0024
BKNG,0.0092
BKR,0.0023
CCEP,0.0024
CDNS,0.0057
CDW,0.0021
CHTR,0.0028
CMCSA,0.011
COST,0.0248
CPRT,0.0038
CRWD,0.0056
CSCO,0.0143
CSGP,0.0026
CSX,0.0047
CTAS,0.005
CTSH,0.0024
DASH,0.0031
DDOG,0.0026
DLTR,0.0018
DXCM,0.0035
EA,0.0027
EXC,0.0035
FANG,0.0025
FAST,0.0027
FTNT,0.0033
GILD,0.0059
GOOG,0.0271
GOOGL,0.028
HON,0.0095
IDXX,0.0032
ILMN,0.0013
INTC,0.0094
INTU,0.013
ISRG,0.01
KDP,0.0033
KHC,0.0031
KLAC,0.0073
LIN,0.0147
LRCX,0.0088
LULU,0.003
MAR,0.0049
MCHP,0.0037
MDB,0.0019
MDLZ,0.0068
MELI,0.0062
META,0.0463
MNST,0.004
MRNA,0.0035
MRVL,0.0043
MSFT,0.0864
MU,0.01
NFLX,0.0189
NVDA,0.065
NXPI,0.0049
ODFL,0.0028
ON,0.0023
ORLY,0.0042
PANW,0.0072
PAYX,0.0032
PCAR,0.004
PDD,0.0067
PEP,0.0175
PYPL,0.0049
QCOM,0.0154
REGN,0.0075
ROP,0.004
ROST,0.0032
SBUX,0.006
SIRI,0.0008
SNPS,0.0063
TEAM,0.0021
TMUS,0.0137
TSLA,0.0231
TTD,0.0028
TTWO,0.0018
TXN,0.0126
VRSK,0.0025
VRTX,0.008
WBA,0.0011
WBD,0.0014
WDAY,0.0037
XEL,0.0022
ZS,0.0019
