Ticker,Original Portfolio (%),Markowitz Portfolio (%),Minimum Variance Portfolio (%)
AAPL,8.05,0.0,7.044310896300125e-16
ABNB,0.44999999999999996,0.0,0.0
ADBE,1.5599999999999998,2.5291710828439477e-13,0.0
ADI,0.76,2.8723824085141206e-13,1.313918765208351e-15
ADP,0.72,0.0,0.0
ADSK,0.33999999999999997,0.0,6.0741771062044425e-15
AEP,0.33999999999999997,0.0,2.7213423596215716
AMAT,1.28,0.0,5.73505230792336e-16
AMD,1.83,9.601427000387387e-13,2.4272919029112005e-15
AMGN,1.21,0.0,7.633052773464014
AMZN,5.3100000000000005,4.751852549264266e-13,0.0
ANSS,0.2,3.108952748384397e-13,0.0
ASML,0.58,2.3324735228170373e-13,0.0
AVGO,4.73,0.0,0.0
AZN,0.32,0.0,8.058781104224083
BIIB,0.24,2.0545907407347132e-13,0.0
BKNG,0.9199999999999999,0.0,0.0
BKR,0.22999999999999998,0.0,1.2915580799493362
CCEP,0.24,2.0248758504762706e-13,3.671827772699522e-15
CDNS,0.5700000000000001,0.0,3.675919031621291e-15
CDW,0.21,0.0,2.0145535891642506e-17
CHTR,0.27999999999999997,0.0,0.0
CMCSA,1.0999999999999999,1.0650496331054111e-13,0.0037427698369743843
COST,2.48,6.874238229703803,4.905710013713239e-15
CPRT,0.38,0.0,7.372682411933957e-16
CRWD,0.5599999999999999,0.0,0.0
CSCO,1.43,1.8425615476870113e-14,0.0
CSGP,0.26,5.869984980040556e-14,8.312818080612896e-16
CSX,0.47000000000000003,3.763185350586227e-14,0.0
CTAS,0.5,0.0,0.0
CTSH,0.24,0.0,1.5202097729183374e-15
DASH,0.31,3.1810799528020845e-13,0.0
DDOG,0.26,5.504525940242705e-13,0.0
DLTR,0.18,3.765281844665671e-14,0.0
DXCM,0.35000000000000003,5.644139937366603e-14,0.0
EA,0.27,0.0,13.621046274037903
EXC,0.35000000000000003,0.0,1.122914081149013e-15
FANG,0.25,13.715721013162192,2.869578236499158
FAST,0.27,0.0,4.0694938527762404e-15
FTNT,0.33,1.5819570356539034e-13,0.0
GILD,0.59,0.0,4.379832369106523
GOOG,2.71,2.7294860414524443e-14,0.0
GOOGL,2.8000000000000003,0.0,0.0
HON,0.95,0.0,1.9533500501921215
IDXX,0.32,0.0,1.2271224123438098e-15
ILMN,0.13,3.71882067822867e-14,0.0
INTC,0.9400000000000001,1.0784258620961159e-13,0.0
INTU,1.3,1.1031877877186818e-13,6.956630389303973e-15
ISRG,1.0,7.312925590454957e-14,4.991528330943199e-15
KDP,0.33,7.900908506919241e-16,10.932016634101824
KHC,0.31,0.0,9.760161352257915
KLAC,0.73,4.332092529555261e-14,2.838497156365746e-15
LIN,1.47,0.0,0.0
LRCX,0.88,6.875828503938383e-14,1.9239910869091248e-15
LULU,0.3,0.0,3.080095234162267e-16
MAR,0.49,0.0,0.37760098661060504
MCHP,0.37,0.0,0.0
MDB,0.19,0.0,2.7999274081399376e-17
MDLZ,0.6799999999999999,1.352989784084631e-14,1.012187131321707
MELI,0.62,0.0,2.868886591898853e-16
META,4.63,0.0,6.358905571489926e-16
MNST,0.4,0.0,0.0
MRNA,0.35000000000000003,0.0,1.5545888973802003e-15
MRVL,0.43,1.416008345082149e-13,5.715373893929421e-15
MSFT,8.64,0.0,2.6439800390929508e-15
MU,1.0,0.0,8.396055409905972e-16
NFLX,1.8900000000000001,0.0,2.1299929415030754e-15
NVDA,6.5,13.809070646218228,4.539689470216859e-15
NXPI,0.49,1.3975671319236726e-13,0.0
ODFL,0.27999999999999997,3.2368857012704625e-15,8.141003186239163e-16
ON,0.22999999999999998,0.0,0.0
ORLY,0.42,35.91060465967043,8.303559720125572
PANW,0.72,0.0,1.5010538099072006
PAYX,0.32,5.72282824652998e-14,0.0
PCAR,0.4,10.662652865697222,0.5276971806492644
PDD,0.67,0.0,0.13221623278118225
PEP,1.7500000000000002,0.0,11.499030280103915
PYPL,0.49,0.0,3.5496411928367604e-16
QCOM,1.54,0.0,0.0
REGN,0.75,12.061999773114412,3.3017207734089964
ROP,0.4,0.0,4.213231470203721
ROST,0.32,1.8275976029929995e-13,2.5354194755908325e-15
SBUX,0.6,2.0134059015582405e-13,1.2276722237846859e-15
SIRI,0.08,0.0,0.0
SNPS,0.63,0.0,1.986058463729117e-17
TEAM,0.21,1.3973435962531404e-13,2.98201076232343e-15
TMUS,1.37,0.0,1.4289001015599034
TSLA,2.31,2.3974400109213254e-13,0.0
TTD,0.27999999999999997,6.888064262030292e-14,0.0
TTWO,0.18,0.0,1.2569966243209072
TXN,1.26,5.6350135577330285e-14,7.948513067977602e-16
VRSK,0.25,0.0,0.0
VRTX,0.8,6.965712812433429,0.8986057219438449
WBA,0.11,0.0,0.0
WBD,0.13999999999999999,0.0,2.7855588997252366e-16
WDAY,0.37,0.0,3.164362531926112e-16
XEL,0.22,0.0,2.322737963771772
ZS,0.19,1.9759277496444866e-13,5.980250573915446e-16
